                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9588,                 4.8431,                 4.1206,                0.00018,                0.03784,                0.00011,                  4e-05,                 2.4321,                 4.8537,                 4.0755,                 0.0004,                 0.0004,                 0.0004
                      2,                 2.7763,                 4.1194,                 3.4432,                0.00014,                0.01506,                  8e-05,                  2e-05,                 2.4278,                 4.3922,                 3.9319,             0.00080446,             0.00080446,             0.00080446
                      3,                 2.4072,                 3.6291,                   2.93,                0.00456,                0.20627,                  0.004,                0.00151,                  2.378,                    inf,                  3.594,              0.0012007,              0.0012007,              0.0012007
                      4,                 2.1043,                 3.2177,                 2.6079,                0.54775,                0.08127,                0.03189,                0.00861,                 2.0946,                  10.92,                 2.5625,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.9831,                 2.9247,                 2.4495,                0.31055,                0.18477,                0.04887,                0.02139,                 1.9231,                  3.433,                 2.4017,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.9322,                 2.8052,                 2.3801,                0.34453,                0.28273,                0.11209,                0.04583,                 1.7649,                  3.088,                 2.1903,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.8439,                 2.6586,                 2.3032,                 0.1024,                 0.1031,                0.04504,                0.01879,                  1.872,                 3.5173,                 2.5434,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.8105,                 2.5494,                 2.2464,                0.45968,                0.10579,                0.13807,                0.06869,                 1.6656,                 2.8756,                  2.064,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.7854,                 2.4292,                 2.2223,                0.11359,                0.38488,                0.18967,                0.09538,                 1.6193,                 2.8344,                 2.1058,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.7571,                 2.3565,                 2.1818,                0.28088,                0.30902,                0.24517,                0.12743,                 1.5741,                 2.4335,                 2.0296,               0.001151,               0.001151,               0.001151
                     11,                 1.7201,                 2.3528,                 2.1686,                0.20678,                0.34115,                0.22169,                 0.1134,                 1.5941,                  2.453,                 2.0536,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.7191,                 2.2863,                 2.1517,                0.19381,                0.31643,                 0.2244,                0.11143,                 1.6355,                 2.3189,                 2.1521,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.7042,                 2.1955,                  2.114,                0.20231,                0.37826,                0.22788,                0.11407,                 1.6198,                 2.2191,                 2.0686,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.6896,                 2.1276,                 2.1059,                0.15433,                0.36216,                0.22592,                0.11937,                 1.5681,                 2.1778,                  2.019,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.6583,                 2.1269,                  2.062,                0.20163,                0.22712,                 0.2468,                0.12174,                  1.574,                 2.1996,                 2.0193,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.6598,                 2.1079,                 2.0636,                0.25272,                0.36733,                0.25907,                0.13774,                 1.5467,                 2.0958,                 1.9891,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.6119,                 2.0499,                 2.0238,                0.46636,                0.34895,                0.25715,                0.14796,                 1.4628,                 2.0957,                 1.9006,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.6018,                 2.0394,                 2.0286,                0.19118,                0.38295,                0.23855,                0.13465,                 1.5121,                 1.9955,                 1.9354,               0.001052,               0.001052,               0.001052
                     19,                 1.6115,                  1.988,                 2.0265,                0.23323,                0.28157,                0.24352,                0.13549,                 1.4421,                  2.138,                 1.9066,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.6058,                  2.008,                  2.027,                0.24027,                0.36806,                0.28559,                0.16683,                 1.4771,                 1.9507,                 1.9142,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.5833,                 1.9562,                 2.0059,                0.27421,                0.41259,                 0.2875,                0.15465,                 1.5805,                 1.8797,                 2.0177,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.5849,                 1.9266,                 2.0101,                0.18495,                0.40998,                0.27669,                0.15941,                 1.4952,                 1.8726,                 1.9356,              0.0010025,              0.0010025,              0.0010025
