                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9518,                 4.7061,                 4.0801,                0.00021,                0.05913,                0.00013,                  4e-05,                 2.4057,                 4.5312,                 4.0532,             0.00045728,             0.00045728,             0.00045728
                      2,                 2.8123,                 4.1469,                 3.4013,                 0.0014,                0.38632,                 0.0188,                0.00546,                 2.2155,                 5.0545,                 3.1029,             0.00091965,             0.00091965,             0.00091965
                      3,                 2.5472,                 3.6334,                 2.9449,                 0.0016,                0.45934,                0.00174,                0.00063,                 2.1553,                 11.696,                 2.9601,              0.0013727,              0.0013727,              0.0013727
                      4,                 2.2957,                 3.2525,                 2.6168,                0.00832,                0.04869,                0.00342,                0.00112,                 2.2349,                 10.883,                 3.1237,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.0765,                 2.9872,                 2.4104,                0.36345,                0.02524,                 0.0196,                0.00578,                 2.0923,                 11.085,                 2.4418,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.9746,                    2.8,                 2.3092,                0.00317,                0.74209,                0.00609,                0.00254,                 1.8483,                 4.5113,                 2.4356,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.9042,                  2.663,                 2.2119,                0.17307,                0.34361,                0.14858,                0.06396,                 1.8212,                 3.2938,                 2.1266,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.8657,                 2.5775,                 2.1695,                0.17161,                0.38371,                0.14883,                0.05543,                 1.8919,                 3.6835,                 2.2743,              0.0013441,              0.0013441,              0.0013441
                      9,                  1.824,                  2.485,                 2.1213,                0.17745,                0.48916,                0.21046,                0.10541,                 1.6516,                 2.3768,                 1.9241,                0.00133,                0.00133,                0.00133
                     10,                 1.7906,                 2.4124,                 2.0737,                0.15796,                0.50786,                0.21392,                0.10617,                 1.6405,                 2.4145,                 1.8865,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.7795,                 2.3502,                 2.0499,                0.15804,                0.49218,                0.22407,                0.11401,                 1.6964,                 2.6488,                  2.025,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.7787,                 2.3179,                 2.0326,                0.25055,                0.41156,                0.19194,                0.08916,                 1.9007,                 3.1419,                 2.3412,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.7295,                 2.2848,                 2.0137,                0.21888,                0.49472,                0.27415,                0.14812,                 1.6376,                 2.1815,                 1.9067,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.7315,                  2.235,                 1.9922,                0.23087,                0.33301,                0.28494,                0.16458,                 1.5411,                 2.4456,                  1.786,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.7279,                 2.2216,                 1.9854,                0.22743,                0.51865,                0.30512,                0.14669,                 1.7614,                 2.0792,                 1.9958,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.7079,                 2.1652,                 1.9717,                0.25491,                0.41612,                0.24394,                0.11581,                  1.876,                 2.9063,                 2.1731,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.6676,                 2.0885,                 1.9295,                0.27984,                0.56185,                0.32737,                 0.1755,                 1.6103,                 2.0449,                 1.8829,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.6697,                 2.1114,                 1.9186,                0.28348,                0.44349,                0.34186,                0.17863,                 1.5591,                 2.1112,                 1.7972,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.6608,                 2.0541,                  1.907,                0.28705,                0.58737,                0.36304,                0.20145,                 1.4942,                 1.9309,                 1.7713,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.6453,                 2.0175,                 1.8826,                  0.233,                0.48556,                0.29863,                  0.153,                 1.7447,                 2.2556,                 2.0982,              0.0011744,              0.0011744,              0.0011744
                     21,                  1.633,                 1.9703,                 1.8776,                0.26986,                0.50535,                0.33551,                0.17879,                 1.6157,                 2.1465,                 1.8782,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.6403,                 1.9587,                 1.8665,                0.33296,                0.54761,                0.36987,                0.19992,                 1.6051,                 2.0072,                 1.8256,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.6317,                 1.9613,                 1.8655,                0.34642,                0.50074,                0.34884,                0.18739,                 1.5582,                 1.8989,                 1.7795,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.6117,                 1.9178,                  1.847,                0.28278,                 0.5491,                0.38096,                0.20931,                 1.5145,                 1.8777,                 1.7214,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.5869,                 1.8926,                 1.8325,                0.34162,                0.56888,                0.39151,                0.19676,                 1.7926,                  1.927,                 2.0478,              0.0011036,              0.0011036,              0.0011036
                     26,                  1.611,                 1.8954,                 1.8415,                0.26757,                0.58478,                0.35086,                0.19066,                 1.5761,                 2.0719,                 1.8564,              0.0010895,              0.0010895,              0.0010895
                     27,                  1.578,                 1.8452,                 1.8096,                0.31119,                0.56925,                0.40049,                0.23041,                 1.4892,                 1.8007,                  1.748,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.5755,                 1.8377,                 1.7941,                 0.2635,                 0.6019,                0.37855,                0.21546,                 1.4998,                 2.0597,                 1.7255,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.5575,                  1.798,                  1.784,                0.29665,                0.58436,                0.39142,                 0.2325,                 1.5137,                 1.8076,                 1.7126,               0.001047,               0.001047,               0.001047
                     30,                 1.5616,                 1.7999,                  1.776,                0.35538,                0.57215,                0.40637,                0.22738,                  1.498,                 1.8601,                 1.7392,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.5548,                  1.785,                 1.7703,                0.34108,                0.52327,                0.38144,                0.21667,                 1.4353,                 1.7497,                 1.6741,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.5303,                 1.7686,                 1.7642,                0.40594,                0.54366,                0.42788,                0.23857,                 1.4429,                 1.8268,                  1.677,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.5245,                 1.7519,                 1.7487,                0.34325,                 0.5469,                0.40053,                0.22015,                 1.5275,                 1.8197,                 1.7597,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.5181,                 1.7314,                 1.7468,                0.30448,                0.64659,                 0.4303,                 0.2483,                 1.4747,                 1.7175,                 1.6898,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.5322,                 1.7481,                 1.7529,                0.23254,                0.54845,                0.36657,                0.20097,                 1.5584,                 1.9593,                 1.7181,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.5248,                 1.7249,                 1.7479,                  0.373,                0.53157,                0.40246,                0.22006,                 1.6177,                 1.7779,                 1.8415,               0.000948,               0.000948,               0.000948
                     37,                  1.509,                   1.71,                 1.7361,                0.31647,                0.55978,                0.39029,                0.22566,                 1.4941,                 1.7494,                  1.717,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.5222,                 1.7051,                 1.7463,                0.37315,                0.48761,                0.42366,                0.23559,                 1.5067,                 1.6489,                 1.6811,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.5003,                 1.6926,                 1.7187,                0.42147,                0.56324,                0.43272,                0.25115,                  1.453,                 1.6339,                 1.6523,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.5083,                 1.6652,                 1.7098,                  0.343,                0.54189,                0.39214,                0.22278,                 1.5309,                 1.6858,                 1.7044,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.5016,                 1.6805,                 1.7096,                0.33514,                0.58356,                0.42897,                0.23788,                  1.517,                 1.7344,                 1.7076,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.4741,                 1.6441,                 1.6918,                0.28394,                0.58182,                0.41707,                0.25191,                 1.4537,                 1.7752,                 1.6353,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.4732,                  1.634,                 1.6979,                0.36612,                0.57696,                0.46256,                0.27502,                 1.4145,                 1.5449,                  1.641,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.4741,                 1.6123,                 1.6929,                0.41941,                0.59233,                  0.464,                 0.2686,                 1.4182,                 1.4733,                 1.6228,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.4851,                 1.6475,                   1.69,                 0.3247,                0.63976,                0.42202,                0.24476,                 1.4477,                  1.709,                 1.6641,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.4784,                 1.6254,                 1.6813,                0.40063,                0.54257,                0.42645,                0.25437,                 1.4021,                 1.5882,                 1.6289,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.4631,                 1.5779,                 1.6719,                0.35001,                0.59541,                0.42504,                0.24941,                 1.4002,                 1.5756,                  1.603,             0.00079238,             0.00079238,             0.00079238
                     48,                  1.447,                 1.5753,                 1.6529,                0.39761,                0.60912,                0.44577,                0.25349,                  1.488,                 1.5787,                 1.6746,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.4487,                 1.5771,                 1.6593,                 0.3918,                0.57934,                 0.4447,                0.25664,                 1.4305,                 1.6339,                  1.617,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.4321,                 1.5756,                 1.6508,                 0.4266,                0.59233,                0.48477,                0.29702,                 1.4287,                 1.5151,                 1.6268,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.4271,                 1.5491,                  1.637,                0.38463,                0.61269,                0.45334,                0.26822,                 1.4175,                 1.5703,                 1.5878,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.4093,                 1.5427,                 1.6268,                0.40321,                 0.5579,                0.46951,                0.28196,                 1.4153,                 1.4611,                 1.5978,             0.00072164,             0.00072164,             0.00072164
