                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0161,                 4.7839,                 4.1978,                0.00026,                0.06746,                0.00018,                  6e-05,                 2.4913,                 4.5628,                  4.157,             0.00018577,             0.00018577,             0.00018577
                      2,                 2.9485,                  4.579,                 4.0379,                0.00028,                0.07641,                0.00017,                  6e-05,                 2.4636,                 4.5292,                 4.1082,             0.00038392,             0.00038392,             0.00038392
                      3,                  2.896,                 4.1991,                 3.6258,                0.00037,                0.07722,                0.00021,                  8e-05,                 2.4575,                 4.5282,                 4.0222,             0.00058009,             0.00058009,             0.00058009
                      4,                 2.7485,                 3.8361,                 3.2544,                0.00038,                0.07458,                0.00021,                  8e-05,                 2.4771,                 4.5203,                 4.0118,             0.00077428,             0.00077428,             0.00077428
                      5,                  2.516,                 3.5987,                 2.9725,                0.00039,                0.07681,                0.00331,                0.00069,                 2.4721,                 4.5821,                  3.963,             0.00096649,             0.00096649,             0.00096649
                      6,                 2.2996,                 3.3302,                 2.6985,                0.00134,                0.35755,                0.02732,                0.00831,                 2.3142,                 4.6223,                  3.282,              0.0011567,              0.0011567,              0.0011567
                      7,                 2.1516,                  3.039,                 2.5021,                0.00148,                0.42733,                0.01932,                0.00517,                 2.2047,                 4.5601,                 2.8366,               0.001345,               0.001345,               0.001345
                      8,                 2.0431,                 2.8699,                 2.3559,                0.07902,                0.05762,                0.03033,                 0.0073,                 2.2167,                 5.8358,                 3.0727,              0.0013795,              0.0013795,              0.0013795
                      9,                 1.9766,                   2.71,                 2.2848,                0.72563,                0.05369,                0.03098,                0.00869,                 2.2242,                 4.5915,                 2.7143,              0.0013795,              0.0013795,              0.0013795
                     10,                  1.922,                 2.5859,                 2.2162,                0.69214,                0.17559,                0.15828,                0.05317,                  2.005,                 4.6586,                 2.3613,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.8805,                 2.4951,                 2.1694,                0.29227,                 0.3245,                0.21783,                 0.0932,                 1.8965,                 3.5092,                 2.2071,              0.0013653,              0.0013653,              0.0013653
                     12,                 1.8604,                 2.4347,                 2.1259,                0.30152,                0.28479,                 0.2433,                0.10893,                 1.8723,                 3.0824,                 2.2007,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.8422,                 2.3744,                 2.0816,                0.24371,                0.39836,                 0.2267,                  0.098,                 1.7855,                 3.6729,                 2.0397,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.8004,                 2.3066,                 2.0405,                 0.3045,                0.30358,                 0.2718,                0.11638,                 1.7683,                 3.2652,                 1.9525,              0.0013441,              0.0013441,              0.0013441
                     15,                    1.8,                 2.2661,                 2.0212,                0.41351,                0.33844,                0.32199,                0.14883,                 1.7147,                 2.7781,                 1.9217,               0.001337,               0.001337,               0.001337
                     16,                  1.738,                 2.1959,                 1.9715,                0.35988,                0.36466,                 0.3343,                0.17178,                 1.5865,                 2.4112,                 1.7703,                0.00133,                0.00133,                0.00133
                     17,                  1.733,                 2.1761,                 1.9609,                0.29637,                 0.4102,                0.30186,                0.13894,                 1.7319,                 2.4348,                 1.9262,              0.0013229,              0.0013229,              0.0013229
                     18,                 1.7349,                 2.1282,                 1.9348,                0.34023,                0.37911,                 0.3258,                0.14038,                 1.8132,                 2.4026,                 1.9726,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.7141,                  2.087,                 1.9249,                0.67199,                0.34952,                0.32566,                0.15516,                 1.6828,                 2.4508,                 1.9152,              0.0013087,              0.0013087,              0.0013087
                     20,                 1.7105,                 2.0464,                 1.9058,                0.34891,                0.52127,                0.38443,                0.19712,                 1.5998,                 2.0423,                 1.7401,              0.0013017,              0.0013017,              0.0013017
                     21,                 1.7029,                 2.0326,                 1.9048,                0.22418,                0.50467,                0.35419,                0.16772,                 1.6943,                 2.1159,                 1.8887,              0.0012946,              0.0012946,              0.0012946
                     22,                 1.6875,                 2.0088,                 1.9122,                0.30263,                0.48411,                 0.3678,                 0.1844,                 1.6222,                  2.274,                 1.7816,              0.0012875,              0.0012875,              0.0012875
                     23,                 1.6838,                 1.9484,                 1.8792,                0.37885,                0.52867,                 0.4238,                0.20763,                   1.63,                 1.9877,                 1.7815,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.6513,                 1.9367,                  1.853,                0.29946,                0.52712,                0.38314,                0.19921,                  1.576,                 2.0701,                 1.7703,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.6608,                 1.9236,                  1.857,                0.28831,                0.48059,                0.35675,                0.15504,                 1.8446,                  2.103,                 1.9911,              0.0012663,              0.0012663,              0.0012663
                     26,                 1.6556,                 1.9149,                 1.8516,                0.28552,                0.55915,                0.42574,                0.20875,                 1.6838,                  2.008,                 1.8376,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.6507,                 1.8807,                 1.8392,                0.34536,                0.52265,                0.41616,                0.21091,                 1.6306,                 2.3314,                 1.8297,              0.0012522,              0.0012522,              0.0012522
                     28,                 1.6255,                 1.8522,                 1.8186,                0.32826,                0.53611,                0.41893,                 0.2118,                 1.5919,                 1.8436,                 1.7305,              0.0012451,              0.0012451,              0.0012451
                     29,                 1.6349,                 1.8817,                 1.8319,                0.35731,                0.46642,                0.38574,                0.18762,                  1.719,                   2.01,                 1.8583,               0.001238,               0.001238,               0.001238
                     30,                 1.6045,                 1.8444,                 1.8012,                0.38449,                0.53174,                0.45326,                0.23123,                 1.6596,                 1.7854,                 1.7855,              0.0012309,              0.0012309,              0.0012309
                     31,                  1.606,                 1.8307,                 1.7961,                0.32208,                0.24073,                0.17472,                 0.0652,                  2.235,                 3.3257,                 2.4874,              0.0012239,              0.0012239,              0.0012239
                     32,                  1.612,                 1.8091,                 1.7938,                0.37201,                0.49831,                0.45241,                 0.2391,                 1.5862,                 1.8575,                  1.718,              0.0012168,              0.0012168,              0.0012168
                     33,                 1.6052,                 1.7973,                  1.786,                0.32773,                0.56648,                0.42209,                0.22451,                 1.5336,                 1.8289,                 1.6998,              0.0012097,              0.0012097,              0.0012097
                     34,                 1.5872,                  1.782,                 1.7735,                0.38481,                0.57997,                0.45573,                0.22038,                 1.6099,                 1.7044,                 1.7252,              0.0012026,              0.0012026,              0.0012026
                     35,                 1.5863,                 1.7939,                  1.768,                0.40407,                0.52843,                0.48535,                0.25436,                  1.531,                 1.9364,                 1.6753,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.5876,                 1.8021,                 1.7761,                0.73007,                0.34681,                0.40799,                0.20763,                 1.5805,                 2.1594,                 1.6916,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.5916,                 1.7433,                 1.7709,                0.33576,                0.59277,                0.45953,                0.22187,                 1.6994,                 1.6948,                 1.8169,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.5765,                 1.7351,                 1.7531,                0.30695,                0.57836,                0.44092,                0.22399,                 1.5845,                 1.8468,                 1.7135,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.5436,                 1.6907,                 1.7212,                0.31428,                 0.6415,                0.48504,                0.26669,                 1.4944,                 1.6549,                   1.63,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.5948,                  1.715,                 1.7641,                 0.3947,                0.46245,                0.34772,                0.13167,                 2.2611,                 2.2477,                 2.4132,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.5547,                 1.7022,                  1.724,                0.40005,                0.57085,                 0.4853,                0.25281,                 1.6167,                  1.634,                 1.7102,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.5478,                 1.6803,                 1.7227,                0.34816,                0.56533,                0.43473,                0.21535,                 1.6189,                 1.9341,                 1.7223,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.5474,                  1.672,                 1.7114,                0.40809,                0.57266,                0.47784,                 0.2462,                 1.5794,                 1.5909,                 1.6835,               0.001139,               0.001139,               0.001139
                     44,                  1.547,                 1.6659,                 1.7204,                0.35698,                0.53394,                0.43311,                0.21999,                 1.6138,                 1.8862,                  1.755,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.5241,                 1.6471,                 1.7068,                0.38474,                0.57187,                0.48253,                0.24708,                 1.6489,                 1.5778,                 1.7066,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.5448,                 1.6414,                 1.7034,                0.44198,                0.59324,                0.49621,                0.25569,                 1.6189,                 1.6838,                 1.6972,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.5603,                 1.6425,                 1.7249,                0.40761,                0.57309,                0.50889,                0.24972,                  1.772,                  1.696,                 1.8694,              0.0011107,              0.0011107,              0.0011107
                     48,                  1.519,                 1.6169,                 1.6958,                0.29331,                0.51597,                0.40632,                0.19747,                 1.7511,                 2.0779,                  1.855,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.5216,                 1.6044,                 1.6923,                0.39699,                0.61072,                0.49326,                0.25156,                  1.573,                 1.6387,                 1.6569,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.5114,                 1.6075,                 1.6794,                0.30128,                0.46133,                0.35945,                0.15896,                 1.9798,                 2.2972,                 2.1038,              0.0010895,              0.0010895,              0.0010895
                     51,                 1.5071,                 1.5818,                 1.6739,                0.36551,                0.63599,                0.51162,                0.27277,                 1.5288,                 1.5125,                 1.6209,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.5031,                 1.5702,                 1.6649,                0.43621,                0.59803,                  0.539,                0.28414,                 1.5665,                 1.5042,                 1.6722,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.5005,                 1.5623,                 1.6706,                0.42703,                 0.6418,                0.52191,                 0.2779,                 1.5457,                 1.4529,                 1.6192,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.4917,                 1.5437,                 1.6585,                0.45887,                0.58704,                0.54889,                0.29683,                 1.5712,                 1.4358,                 1.6298,              0.0010612,              0.0010612,              0.0010612
                     55,                 1.4962,                 1.5447,                 1.6536,                0.45018,                0.63935,                0.54693,                0.30375,                  1.481,                 1.4128,                 1.5789,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.4692,                 1.5106,                 1.6336,                0.45279,                0.56607,                 0.5265,                0.23434,                 1.7894,                 1.5854,                 1.8352,               0.001047,               0.001047,               0.001047
                     57,                 1.4873,                 1.5399,                 1.6418,                0.42523,                0.63905,                0.50903,                0.28964,                 1.5076,                  1.526,                 1.5982,                0.00104,                0.00104,                0.00104
                     58,                 1.4758,                 1.5017,                 1.6369,                0.40367,                0.59533,                0.47917,                0.24821,                 1.5563,                 1.6473,                  1.651,              0.0010329,              0.0010329,              0.0010329
                     59,                 1.4841,                 1.5618,                 1.6445,                0.46016,                 0.5547,                0.53091,                0.27712,                 1.5471,                 1.4902,                 1.6466,              0.0010258,              0.0010258,              0.0010258
                     60,                  1.465,                  1.519,                 1.6259,                0.33531,                0.58091,                0.43545,                0.19875,                 1.7791,                 1.8234,                 1.8569,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.4884,                  1.517,                 1.6318,                0.40934,                0.61849,                 0.5379,                0.28144,                 1.6289,                 1.5579,                 1.6639,              0.0010117,              0.0010117,              0.0010117
                     62,                 1.4537,                 1.4898,                  1.622,                0.44447,                 0.6141,                0.49882,                0.26505,                 1.5644,                 1.4674,                 1.6314,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.4599,                 1.4958,                 1.6202,                0.38879,                0.60033,                0.51394,                0.26644,                 1.5611,                 1.5559,                 1.6809,             0.00099751,             0.00099751,             0.00099751
                     64,                 1.4732,                 1.5145,                 1.6271,                0.37783,                 0.5847,                0.44942,                0.22622,                 1.6619,                 1.5716,                 1.6672,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.4276,                  1.442,                  1.598,                0.42862,                0.54516,                0.51201,                0.28678,                 1.5006,                 1.5102,                 1.5825,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.4294,                 1.4366,                 1.5974,                0.46576,                0.60433,                0.54587,                 0.3017,                 1.4834,                 1.4213,                 1.5687,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.4652,                 1.4743,                 1.6222,                 0.3999,                0.50277,                0.39729,                0.16985,                  2.062,                 1.9491,                 2.1095,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.4492,                 1.4813,                 1.6147,                0.43211,                0.65862,                0.54904,                0.29776,                 1.5216,                 1.4089,                 1.5989,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.4327,                 1.4422,                 1.5894,                0.41387,                0.60348,                0.50663,                0.26812,                 1.5908,                 1.5083,                  1.634,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.4263,                  1.422,                 1.5762,                0.38285,                 0.5619,                0.48396,                0.25024,                 1.6276,                 1.7464,                 1.6612,               0.000948,               0.000948,               0.000948
                     71,                 1.4386,                 1.4517,                 1.5896,                0.47526,                0.59848,                0.53087,                0.28153,                 1.5306,                 1.5054,                  1.602,             0.00094093,             0.00094093,             0.00094093
                     72,                 1.4087,                  1.406,                 1.5692,                0.50874,                0.62162,                0.54643,                0.29714,                  1.561,                 1.3747,                 1.6099,             0.00093385,             0.00093385,             0.00093385
                     73,                   1.42,                 1.4071,                  1.584,                0.51688,                0.58229,                0.54823,                0.28701,                 1.5744,                 1.3511,                 1.6356,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.4154,                 1.4086,                 1.5737,                 0.4507,                0.64275,                0.51127,                0.26962,                   1.57,                   1.39,                 1.6112,              0.0009197,              0.0009197,              0.0009197
